accountsLoggedIntoFromDeviceInLastDay,accountsLoggedIntoFromDeviceInLastWeek,accountsLoggedIntoFromDeviceInLastMonth,areBarberAndClientUsingTheSameDevice,barberClientCount,barberMobilePayTransactionsUnderReview,barberRejectedTransactionsAllTime,barberTransactionsAllTime,barberProcessedTransactionsAllTime,barberTransactionsCreatedAndProcessedInLast1Hour,barberUnregisteredClientCount,clientAccountEmailChangedInLastDay,clientAccountRegisteredApprovedDeviceInLastDay,clientDeviceCount,clientMobilePayFraudAssessmentsPendingReview,clientPaymentMethodChangesInLastHour,clientPaymentMethodChangesInLastDay,clientPaymentMethodChangesInLastWeek,clientPaymentMethodChangesInLastMonth,clientPaymentMethodChangesInLastThreeMonths,clientTransactionsInLast1Hour,clientTransactionsAllTime,clientProcessedTransactionsAllTime,clientTransactionsWithBarberAllTime,clientIPAndMerchantAccountCreationIPMatch,daysBetweenBarberSignupAndBooking,deviceMobilePayFraudAssessmentsPendingReview,hasBarberClientRelation,hoursBetweenBookingAndAppointmentStart,hoursBetweenClientSignupAndBooking,isWalletPaymentMethod,minutesBetweenBookingAndAppointmentStart,mobilePayTransactionsCreatedFromDeviceInLastHour,mobilePayTransactionsCreatedFromDeviceInLastDay,mobilePayTransactionsCreatedFromDeviceInLastWeek,mobilePayTransactionsCreatedFromDeviceInLastMonth,mobilePayTransactionsCreatedFromIPInLastHour,mobilePayTransactionsCreatedFromIPInLastDay,mobilePayTransactionsCreatedFromIPInLastWeek,mobilePayTransactionsCreatedFromIPInLastMonth,rejectedClientTransactions,tipAmountToServicePriceRatio,transactionDisputesCreatedFromIPAllTime,transactionTotal,is_fraud,,,known_values
0,0,0,FALSE,1505,0,0,11035,9102,0,0,FALSE,FALSE,1,0,0,0,0,0,1,1,15,11,15,FALSE,1658,0,TRUE,31,8974,TRUE,1878,1,1,1,2,1,1,1,1,0,0.17,0,35.95,,,,FALSE
0,0,0,FALSE,543,0,0,6931,4604,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,78,29,78,FALSE,1610,0,TRUE,70,14036,FALSE,4233,1,1,1,2,1,1,1,1,0,0,0,25.95,,,,FALSE
0,0,0,FALSE,247,0,0,931,812,0,203,FALSE,FALSE,1,0,0,0,0,0,0,1,55,47,55,FALSE,302,0,TRUE,15,6711,TRUE,941,1,1,2,8,1,1,1,4,0,0,0,37.95,,,,FALSE
0,0,0,FALSE,2,0,0,3,1,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,10,2,0,FALSE,1,0,FALSE,1,12709,TRUE,102,1,1,1,1,1,1,1,1,3,0.1,0,44.95,,,,TRUE
0,0,0,FALSE,183,0,0,229,199,0,1,FALSE,FALSE,2,0,0,0,0,0,0,1,33,24,15,FALSE,326,0,TRUE,8,13985,TRUE,515,1,1,1,6,1,1,1,3,0,0.14,0,30.95,,,,FALSE
0,1,1,FALSE,1056,0,0,3668,2674,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,3,1,3,FALSE,1876,0,TRUE,207,256,TRUE,12476,1,2,3,3,1,1,2,2,0,0.25,0,50.95,,,,FALSE
1,1,1,FALSE,1655,0,0,3709,3042,0,3,FALSE,FALSE,1,0,0,0,0,0,0,1,1,0,1,FALSE,2323,0,FALSE,7,7,TRUE,441,1,1,1,1,1,1,1,1,0,0,0,40.95,,,,FALSE
0,1,1,FALSE,1463,0,4,1134,898,0,0,FALSE,FALSE,1,0,1,1,1,1,1,1,1,0,1,FALSE,923,0,FALSE,53,87,FALSE,3184,1,1,1,1,1,1,1,2,0,0,0,65.95,,,,TRUE
0,0,0,FALSE,830,0,0,2149,1774,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,16,8,0,FALSE,1834,0,TRUE,28,13177,TRUE,1720,1,1,1,1,1,1,1,1,0,0,0,90.95,,,,TRUE
0,0,0,FALSE,1412,0,0,3006,2526,0,0,FALSE,FALSE,1,0,1,1,1,1,1,1,2,0,2,FALSE,1862,0,TRUE,100,10727,FALSE,6010,1,1,1,1,1,1,1,1,0,0,0,500.95,,,,TRUE
0,0,0,FALSE,425,0,0,1663,1337,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,15,8,15,FALSE,964,0,TRUE,83,11681,FALSE,5027,1,1,1,1,1,1,1,1,0,0.2,0,42.95,,,,FALSE
0,0,0,FALSE,1044,0,0,2121,1530,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,4,3,4,FALSE,1627,0,TRUE,1,2809,TRUE,107,1,1,1,2,1,1,1,1,0,0.17,0,35.95,,,,FALSE
0,0,0,FALSE,1333,0,0,4826,3481,0,32,FALSE,FALSE,1,0,0,0,0,0,0,1,144,106,141,FALSE,2216,0,TRUE,5,13939,FALSE,324,1,1,1,4,1,1,2,7,0,0,0,40.95,,,,FALSE
0,0,0,FALSE,172,0,0,1545,1389,0,5,FALSE,FALSE,1,0,0,0,0,0,0,1,30,28,30,FALSE,585,0,TRUE,32,12740,TRUE,1937,1,1,1,2,1,1,1,2,0,0,0,15.95,,,,FALSE
0,1,1,FALSE,167,0,0,85,71,0,101,FALSE,FALSE,1,0,0,0,0,0,0,1,1,0,1,FALSE,35,0,TRUE,15,45,TRUE,915,1,1,1,1,1,1,1,1,0,0,0,40.95,,,,FALSE
0,0,0,FALSE,349,0,0,3172,2559,0,13,FALSE,FALSE,1,0,0,0,0,0,0,1,32,28,32,FALSE,1652,0,TRUE,4,13942,TRUE,256,1,1,1,2,1,1,1,1,0,0,0,40.95,,,,FALSE
1,1,1,FALSE,1,0,0,1,0,0,0,FALSE,FALSE,1,0,1,1,1,1,1,2,2,0,1,FALSE,6,0,FALSE,0,1,FALSE,49,2,2,2,2,2,2,2,2,0,0.08,1,130.95,,,,TRUE
0,1,1,FALSE,1,1,1,5,2,0,0,FALSE,FALSE,1,1,1,2,2,2,2,2,6,3,5,FALSE,3,1,TRUE,0,30,FALSE,37,2,6,6,6,2,2,2,2,1,0,0,75.95,,,,TRUE
0,0,0,FALSE,694,0,1,2730,2216,0,1,FALSE,FALSE,1,0,0,0,0,0,0,1,32,19,7,FALSE,1316,0,TRUE,56,12404,FALSE,3409,1,1,1,2,1,1,1,2,0,0.2,0,43,,,,FALSE
0,0,0,FALSE,104,0,0,163,147,0,0,FALSE,FALSE,2,0,0,0,0,0,0,1,6,3,3,FALSE,270,0,TRUE,76,14371,TRUE,4572,1,1,1,2,1,1,1,2,0,0,0,35.95,,,,TRUE
0,0,0,FALSE,1506,0,0,3560,2752,0,0,FALSE,FALSE,2,0,0,0,0,0,0,1,20,18,20,FALSE,1998,0,TRUE,7,14874,TRUE,441,1,1,1,3,1,1,1,2,0,0.33,0,40.95,,,,TRUE
0,0,0,FALSE,425,0,2,1141,878,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,75,65,71,FALSE,1680,0,TRUE,71,14011,FALSE,4274,1,1,1,3,1,1,1,1,0,0.2,0,48.95,,,,FALSE
0,0,0,FALSE,932,0,0,7614,3826,0,0,FALSE,FALSE,1,0,0,0,0,1,2,1,96,69,95,FALSE,2403,0,TRUE,114,14063,FALSE,6881,1,1,1,9,1,1,1,1,0,0,0,30.95,,,,FALSE
0,0,0,FALSE,991,0,0,3207,2113,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,65,28,59,FALSE,2630,0,TRUE,245,14209,TRUE,14700,1,1,1,3,1,2,2,4,0,0.2,0,60.95,,,,FALSE
0,0,0,FALSE,327,0,0,2116,1709,0,0,FALSE,FALSE,1,0,0,0,0,1,1,1,2,1,2,FALSE,827,0,TRUE,48,14010,TRUE,2905,1,1,1,2,1,1,1,1,0,0,0,35.95,,,,FALSE
0,0,0,FALSE,123,0,0,39,33,0,4,FALSE,FALSE,1,0,0,0,0,0,0,1,2,1,1,FALSE,431,0,FALSE,18,13960,TRUE,1135,1,1,1,1,1,1,1,1,0,0,0,30.95,,,,FALSE
0,0,0,FALSE,364,0,1,1477,1384,0,0,FALSE,FALSE,1,0,0,0,0,0,1,1,55,51,55,FALSE,1904,0,TRUE,95,14064,TRUE,5750,1,1,1,5,1,1,1,2,0,0,0,50.95,,,,FALSE
0,0,0,FALSE,281,0,0,5938,4117,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,20,18,20,FALSE,1586,0,TRUE,94,14037,FALSE,5646,1,1,1,2,1,1,1,2,0,0.2,0,30.95,,,,FALSE
0,0,0,FALSE,107,0,3,102,74,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,1,0,1,FALSE,423,0,TRUE,0,13967,TRUE,52,1,1,1,1,1,1,1,1,0,0.15,0,41.2,,,,FALSE
0,0,1,FALSE,1531,0,0,4527,3583,0,0,FALSE,FALSE,2,0,1,1,1,1,2,1,5,4,5,FALSE,1997,0,TRUE,44,6578,FALSE,2697,1,1,1,1,1,1,1,1,0,0,0,25.95,,,,FALSE
0,0,0,FALSE,1403,0,0,3550,2888,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,8,7,8,FALSE,2239,0,TRUE,4,6530,TRUE,290,1,1,1,1,1,2,2,2,0,0,0,40.95,,,,FALSE
0,0,0,FALSE,686,0,0,2859,2105,0,0,FALSE,FALSE,2,0,0,0,0,0,0,1,23,17,23,FALSE,720,0,TRUE,50,14012,TRUE,3009,1,1,1,2,1,1,1,2,0,0.17,0,50,,,,FALSE
0,0,0,FALSE,256,0,0,153,9,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,6,0,6,FALSE,1354,0,TRUE,20,4848,TRUE,1235,1,1,1,1,1,1,2,5,0,0.2,0,60.95,,,,FALSE
0,0,0,FALSE,381,0,0,5305,3165,0,1,FALSE,FALSE,1,0,0,0,0,0,0,1,97,1,97,FALSE,1492,0,TRUE,50,14015,FALSE,3042,1,1,2,5,1,1,2,2,0,0,0,40.95,,,,FALSE
0,0,0,FALSE,563,0,1,938,626,0,270,FALSE,FALSE,1,0,0,0,0,0,0,1,16,11,8,FALSE,2204,0,TRUE,76,14016,TRUE,4616,1,1,1,4,1,1,1,1,0,0,0,40.95,,,,FALSE
0,0,0,FALSE,505,0,1,3185,2805,0,0,FALSE,FALSE,2,0,0,0,0,0,0,1,75,66,75,FALSE,987,0,TRUE,54,14013,FALSE,3284,1,1,1,3,1,1,1,3,0,0,0,25.95,,,,FALSE
1,1,1,FALSE,1277,0,0,2810,2079,0,0,FALSE,FALSE,1,0,1,1,1,1,1,1,1,0,0,FALSE,1986,0,FALSE,43,43,FALSE,2582,1,1,1,1,1,1,1,1,0,0.2,0,60.95,,,,TRUE
0,0,0,FALSE,481,0,2,696,511,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,7,6,6,FALSE,1670,0,TRUE,1,13962,TRUE,108,0,0,0,0,1,1,1,1,0,0.15,0,35.45,,,,FALSE
0,0,1,FALSE,10,0,0,1,0,0,0,FALSE,FALSE,1,0,1,1,1,2,2,1,2,1,0,FALSE,508,0,FALSE,2,336,FALSE,178,1,1,1,2,1,1,1,1,0,0,0,40.95,,,,TRUE
0,0,0,FALSE,276,0,0,155,129,0,200,FALSE,FALSE,1,0,0,0,0,0,0,1,1,0,1,FALSE,1144,0,FALSE,5,3414,TRUE,343,1,1,1,1,1,1,1,1,0,0.15,0,46.95,,,,TRUE
0,0,0,FALSE,148,0,0,193,139,0,0,FALSE,FALSE,1,0,0,0,0,0,1,1,6,2,6,FALSE,247,0,TRUE,19,1926,FALSE,1186,1,1,1,3,1,1,1,3,0,0.2,0,48.95,,,,FALSE
0,0,0,FALSE,414,0,0,1997,1847,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,3,2,3,FALSE,751,0,TRUE,92,866,TRUE,5539,1,1,1,2,1,1,1,2,0,0.13,0,45.95,,,,FALSE
0,0,0,FALSE,332,0,1,611,372,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,2,1,0,FALSE,391,0,TRUE,8,7110,FALSE,526,0,0,0,1,0,0,0,0,0,0,0,45.95,,,,TRUE
0,0,0,FALSE,1028,0,0,1296,1061,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,20,14,6,FALSE,1566,0,TRUE,67,14033,TRUE,4040,1,1,2,3,1,1,1,1,0,0.11,0,50.95,,,,FALSE
0,0,1,FALSE,331,0,0,334,204,0,0,FALSE,FALSE,1,0,0,0,0,0,3,1,14,7,1,FALSE,775,0,TRUE,76,4660,FALSE,4609,1,1,1,3,1,1,1,1,0,0.2,0,180.95,,,,TRUE
0,0,0,FALSE,315,0,0,1245,1038,0,0,FALSE,FALSE,2,0,0,0,0,0,0,1,31,28,31,FALSE,820,0,TRUE,4,5449,TRUE,283,1,1,1,5,1,1,1,2,0,0.5,0,15.95,,,,FALSE
0,0,0,FALSE,309,0,0,1435,1074,0,5,FALSE,FALSE,1,0,0,0,0,0,0,1,68,48,68,FALSE,2295,0,TRUE,193,14159,TRUE,11585,1,1,2,6,1,1,1,1,0,0,0,35.95,,,,FALSE
